Nombre del artista,Título de la canción,Número de canción,Título del álbum,Fecha de lanzamiento,Nombre del compositor,Nombre del productor musical,Código ISRC,Sello discográfico,Compañía editorial,Entidad de gestión de derechos,Género/s musical/es,Número de reproducciones,Top 5,Contacto (campo comentarios)
Dale White,Smile society around goal.,12,Age hotel guess.,2015-10-04,Caroline Oneill,Christine Harris,978-1-80737-183-8,EMI,Sony/ATV Music Publishing,ASCAP,Country,50652,False,susan39@example.com
Thomas Daniels,See strategy.,2,Together about.,2014-06-01,Craig Schultz,Latasha Payne,978-1-4042-0222-1,Sony Music,Sony/ATV Music Publishing,ASCAP,Country,28455,False,nrichard@example.net
Kelly Juarez,Expert step.,4,Which single door.,2006-09-29,Jessica Silva,Destiny Hubbard,978-1-4938-8748-4,EMI,Warner/Chappell Music,SESAC,Classical,510961,False,lward@example.com
Cheryl Garcia,Control value instead party.,5,Wind.,2012-03-11,Tyler Porter,Caitlin Hernandez,978-0-01-564267-9,EMI,Warner/Chappell Music,ASCAP,Reggae,185668,False,victorjackson@example.com
Rebecca Morales,Star as party bank.,2,Billion go offer.,2004-08-24,Tamara Jones,James Andrade,978-0-8336-0619-8,Warner Music Group,Universal Music Publishing Group,BMI,Pop,666223,False,gstrickland@example.com
Daniel Cooper,Care north majority around relationship.,9,Carry coach.,2016-11-16,Joy Smith,Felicia Brown,978-0-310-80732-2,Universal Music Group,Sony/ATV Music Publishing,BMI,Merengue,125762,False,paulchapman@example.org
Peter Thomas,Strategy idea.,5,Improve answer type.,2016-06-22,Chris Mcdaniel,Kim Combs,978-0-05-916919-4,Universal Music Group,Kobalt Music Group,ASCAP,Rock,525117,False,markbryant@example.com
Jason Holland,State art catch avoid.,8,Report toward class feel.,2002-02-06,Carla Knapp,Mary Fox,978-1-355-31525-4,EMI,Sony/ATV Music Publishing,ASCAP,Salsa,570784,False,robertmedina@example.org
Christina Byrd,Clearly behavior home nature.,1,International spring.,2012-02-16,David Flynn,Denise Underwood,978-0-236-78212-3,Warner Music Group,Sony/ATV Music Publishing,BMI,Rock,725486,False,jillortiz@example.com
Kathryn Bradford,Long director mouth establish.,11,Security time rate.,2000-08-25,Jenna Fernandez,Sara Gordon,978-0-13-744032-0,Warner Music Group,Sony/ATV Music Publishing,SESAC,Pop,318672,False,jeremy52@example.net
Scott Frost,Trouble travel.,12,That option along.,2000-09-19,Daniel Davis,Pamela Sanford,978-1-340-49830-6,Sony Music,Sony/ATV Music Publishing,BMI,Salsa,647068,False,wanda31@example.net
Lauren Ross,Reveal onto.,8,Or local summer best.,2017-12-28,Brittney Smith,Jonathan Anderson,978-1-250-12750-1,Warner Music Group,Kobalt Music Group,SESAC,Electronic,559454,False,brandy84@example.com
Nicole Gordon,Not key bag service effect.,9,Agree federal someone.,2003-09-16,Louis Brown,James Lewis,978-1-00-633596-9,EMI,Sony/ATV Music Publishing,ASCAP,Pop,399022,False,xcampbell@example.org
Carolyn Payne,Animal month.,9,How American difficult.,2016-05-11,Ricardo Marsh,Bruce Ruiz,978-1-185-72406-6,EMI,Universal Music Publishing Group,SESAC,Rock,600310,False,kjones@example.net
Amy Fisher,Throw appear.,10,All support rule.,2009-03-14,Marisa Mullins,Angela Gonzalez,978-1-81824-339-1,Warner Music Group,Sony/ATV Music Publishing,BMI,Vallenato,644929,False,jacob05@example.org
Timothy Gilbert,Sea low heart.,4,Some continue.,2015-07-01,Aaron Sanchez,Brett Todd,978-1-134-89961-6,Sony Music,Kobalt Music Group,BMI,Rock,144101,False,stephenmeza@example.org
Caleb Russell,Shoulder cell window.,11,Instead right technology.,2007-06-13,Christina Webster,Paul Pham,978-0-389-48524-7,Sony Music,Kobalt Music Group,BMI,Jazz,559440,False,pmartin@example.org
Stephanie Bolton,Military role Mr.,1,Would once road.,2017-05-25,Wanda Hall,Richard Moody,978-0-265-93968-0,Warner Music Group,Warner/Chappell Music,BMI,Reggae,977710,False,shannonvasquez@example.org
Julie Curtis,Back quite today.,3,None others why indeed.,2020-03-26,Kelli Stone,Joshua Glenn,978-0-7385-5917-9,EMI,Kobalt Music Group,ASCAP,Pop,189613,False,sonyasmith@example.org
Melissa Walker,Stage attention money consumer.,12,Knowledge Mrs.,2009-12-09,Kendra Bryant,Kevin Preston,978-1-966496-47-2,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Merengue,390371,False,monicaschroeder@example.org
Nancy Davis,Such could.,8,Rather he.,2005-09-21,Robert Aguilar,Heidi Carter,978-1-07-764623-0,EMI,Warner/Chappell Music,SESAC,Pop,163054,False,jensendaniel@example.org
Terry Jones,Reach list purpose second.,7,Direction so.,2003-03-25,Scott Murphy,Sharon Moore,978-0-260-54967-9,Universal Music Group,Warner/Chappell Music,BMI,Jazz,39813,False,chelsea67@example.com
Deborah Wise,Question method.,7,Civil president effect.,2001-05-03,Courtney Clements,Matthew Jackson,978-0-8323-8432-5,Sony Music,Universal Music Publishing Group,BMI,Merengue,599501,False,ncraig@example.com
Meghan Oliver,I sort special week.,5,At wife major.,2013-12-14,Laura Ellis,Cindy Vaughn MD,978-1-63007-308-4,EMI,Kobalt Music Group,SESAC,Reggeton,593587,False,angelasuarez@example.org
Terri Wolfe,Not value.,6,Her capital increase.,2000-07-03,Cody Hood,Richard Gonzalez DDS,978-0-11-463190-1,Sony Music,Kobalt Music Group,ASCAP,Reggae,357713,False,craigmiles@example.net
David Paul,Whatever must word.,6,He low.,2017-03-12,Andrew Townsend,Brooke Howe,978-0-05-675737-0,EMI,Kobalt Music Group,BMI,Hip Hop,928106,False,bryantkyle@example.net
Mark Smith,Your cause decade commercial.,10,Market section especially.,2000-12-14,Katherine Martin,Mary Espinoza,978-1-86772-343-1,Universal Music Group,Kobalt Music Group,BMI,Reggae,671182,False,robertsmith@example.org
Russell Tran,Group grow improve could other.,11,Key behind specific.,2023-06-13,Taylor Larsen,Kevin Johnson,978-1-5347-7817-7,Sony Music,Universal Music Publishing Group,BMI,Hip Hop,455476,False,lopeztraci@example.net
Samuel Murphy,Option grow write far example.,10,Our wide couple.,2020-09-20,Savannah Russell,Sarah Powell,978-1-5191-1406-8,Universal Music Group,Warner/Chappell Music,SESAC,Merengue,698858,False,mirandadiaz@example.com
Teresa Perez,Financial treatment trial year.,6,Weight down.,2005-10-19,Tara Warren,Mary Parker,978-1-67243-622-9,Universal Music Group,Warner/Chappell Music,BMI,Pop,613888,False,vjones@example.net
Laura Warner,As key southern example full.,8,Put various.,2018-08-01,Carolyn Perry,Jessica Campbell,978-0-8159-6661-6,EMI,Universal Music Publishing Group,BMI,Hip Hop,377541,False,rsheppard@example.net
Kathleen Howell,Buy manager about manager former.,7,With.,2008-04-29,Lauren Vega,Melanie Jones MD,978-1-157-66440-6,Sony Music,Warner/Chappell Music,BMI,Classical,560452,False,lisa59@example.com
Brandi Brown,Agency plan during quality store.,8,We daughter after former.,2009-07-25,Daniel Luna,Yvonne Roberts,978-1-224-66420-9,Sony Music,Universal Music Publishing Group,SESAC,Hip Hop,33592,False,wblack@example.com
Donna Kim,Force why.,3,Partner himself rise sense.,2010-09-17,Mark Shields,Christopher Lopez,978-1-06-412054-5,Warner Music Group,Sony/ATV Music Publishing,BMI,Reggeton,67368,False,trobinson@example.org
Daniel White,Theory role.,9,Because.,2002-11-02,Gary Wheeler,Natasha Simmons,978-0-663-14048-0,Warner Music Group,Sony/ATV Music Publishing,SESAC,Jazz,822393,False,jnelson@example.com
Jamie Rivers,He game evening remain.,8,Movie others.,2010-10-26,Michael Jimenez,Joshua Harris,978-1-62788-388-7,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Classical,375745,False,webbjay@example.org
Joseph Powell,Example require among there.,1,Night throughout fine.,2003-01-08,Linda Weaver,Andrew Byrd,978-0-86088-481-1,Universal Music Group,Warner/Chappell Music,SESAC,Reggae,339559,False,nortonwilliam@example.org
Samantha Young,For perform deal involve get.,10,Local bit for.,2016-05-02,Felicia Brown,Joel Morris,978-1-298-96187-7,Universal Music Group,Warner/Chappell Music,ASCAP,Pop,196887,False,christina69@example.com
Sean Allison,Beyond little behavior foreign.,11,Everybody.,2007-08-14,Patricia Rivera,Angel Reid,978-1-59229-694-1,Warner Music Group,Warner/Chappell Music,BMI,Classical,236086,False,jonesjessica@example.net
Norman Chang,Rest recently let.,8,Effect.,2015-03-05,Walter Carrillo,James Kaufman,978-1-248-57356-3,Universal Music Group,Kobalt Music Group,BMI,Rock,138985,False,pgordon@example.com
Donna Flynn,Camera recently nation.,4,Animal building.,2008-02-09,Ryan Tran,Christy Torres,978-1-4968-9184-6,EMI,Warner/Chappell Music,ASCAP,Jazz,927908,False,sandra24@example.org
Gina Herrera,Charge there Republican glass oil.,4,Scientist left in time.,2021-06-22,Yvette Nelson,Kimberly Moore,978-1-910140-10-9,Warner Music Group,Kobalt Music Group,ASCAP,Merengue,555788,False,andersonadam@example.net
Brittney Mitchell,Assume ago education mind.,5,One claim arrive.,2012-02-04,Michele Harrison,Jordan Holmes,978-1-179-49138-7,Universal Music Group,Universal Music Publishing Group,BMI,Pop,959066,False,hardinleslie@example.net
Richard Pittman,Sure media kid.,3,Identify particular.,2017-12-11,Nicholas Conway,Megan Padilla,978-1-4810-4660-2,Universal Music Group,Sony/ATV Music Publishing,SESAC,Jazz,464886,False,elizabethjimenez@example.org
Zachary Palmer,Note mouth always.,9,Lay.,2013-02-23,Richard Wilcox,Lindsay Donaldson,978-0-925065-78-0,EMI,Sony/ATV Music Publishing,ASCAP,Reggeton,965266,False,kristina29@example.com
Ethan Boone,Travel word rule have instead.,3,Cultural town.,2008-07-24,Caitlin Jones,Paige Huff,978-1-931482-70-7,EMI,Kobalt Music Group,BMI,Merengue,45849,False,jeffrey68@example.com
Monica Simon,Beautiful those result.,4,A begin.,2002-09-17,Scott Alvarez,Cindy Williams,978-0-442-52113-4,Warner Music Group,Universal Music Publishing Group,ASCAP,Rock,940264,False,holmesmanuel@example.net
Michael Pacheco,Down hotel them fall.,4,Again future.,2002-05-13,David Perry,Tara Klein,978-0-489-08490-6,Sony Music,Kobalt Music Group,SESAC,Salsa,192924,False,sandra49@example.org
David Brooks,Low inside simple.,11,Center ago phone special.,2023-10-22,Richard Kirk,Stephanie Johnson,978-1-364-10155-8,Sony Music,Sony/ATV Music Publishing,ASCAP,Pop,144059,False,jamienewman@example.net
Kayla Smith,Color firm nothing.,9,Note get force.,2009-01-22,Hannah Kelley,Damon Whitney,978-1-184-26162-3,EMI,Kobalt Music Group,BMI,Reggeton,410407,False,logantyler@example.org
Mikayla Yang,Simply chair.,7,Foreign organization dog fire.,2013-11-30,Barry Harris,Anthony Thompson,978-1-62614-550-4,Warner Music Group,Kobalt Music Group,ASCAP,Rock,499989,False,jay25@example.org
Christopher Phillips,Author assume including.,7,Husband defense mention.,2013-10-07,Joshua Cooper,Hannah Henderson,978-1-4619-9846-4,Sony Music,Warner/Chappell Music,BMI,Reggeton,199918,False,jpowers@example.org
Elaine Foster,Gas cost town PM foreign.,2,Marriage election space.,2020-03-28,Mr. Aaron Foster,Paige Richardson,978-1-83095-032-1,Universal Music Group,Warner/Chappell Music,SESAC,Country,13519,False,gtaylor@example.com
Marilyn Cooley,Win nice ago career hold.,3,Personal big.,2020-11-16,Gregory Gould,Michael Anderson,978-0-02-805574-9,Warner Music Group,Warner/Chappell Music,BMI,Hip Hop,244913,False,nrivera@example.com
Nicholas Kline,Material course wait out board.,10,Choice himself.,2012-05-20,Christine Shepherd,Scott Thompson,978-0-546-20486-5,EMI,Universal Music Publishing Group,BMI,Vallenato,55324,False,tiffanyharris@example.net
Angela Benjamin,Support pattern nothing itself bill.,7,Production.,2003-07-17,James Rubio,Eric Allen,978-0-467-32376-8,Universal Music Group,Kobalt Music Group,ASCAP,Vallenato,535068,False,hthompson@example.com
Jeremy Sharp,Include full of rest.,8,But rest article.,2011-03-07,Kevin Miller,Claudia Nguyen,978-0-7294-6830-5,Universal Music Group,Warner/Chappell Music,SESAC,Merengue,599636,False,qadams@example.net
Jeanne Alvarez,Poor kid.,12,Company push.,2003-12-22,Brianna Phillips,David Pitts,978-0-2280-7778-7,Warner Music Group,Warner/Chappell Music,SESAC,Jazz,778427,False,bdavis@example.com
Jason Wright,Trouble girl ok matter break.,5,Physical himself.,2009-01-24,Brent Henderson,Ms. Rebekah Higgins,978-0-8167-1884-9,Warner Music Group,Universal Music Publishing Group,SESAC,Merengue,313636,False,charles57@example.org
James Aguilar,Design church.,7,Show important.,2021-07-20,Thomas Craig,Tiffany Wilson,978-1-56750-584-9,Sony Music,Kobalt Music Group,ASCAP,Reggeton,647056,False,zperry@example.com
Brian Mueller,Class interest.,3,Public again.,2003-07-17,Michael Munoz,Robin Rogers,978-0-7467-5165-7,Universal Music Group,Kobalt Music Group,ASCAP,Vallenato,986148,False,joshua45@example.com
John Young,Series direction three attack give.,8,North discuss up.,2019-11-17,Michael Davis,Judith Williamson,978-0-85253-320-8,Universal Music Group,Kobalt Music Group,SESAC,Merengue,160692,False,scott03@example.org
Russell Turner,Drop recently environmental top field.,10,Pick note imagine summer.,2021-12-25,Robert Taylor,Terri Horton,978-1-60922-515-5,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Jazz,655395,False,cnavarro@example.com
Amy Olson,Fight people.,9,Poor whatever.,2020-12-16,Jeremy Ortiz,Kevin Manning MD,978-1-5184-2173-0,Warner Music Group,Universal Music Publishing Group,ASCAP,Reggeton,114226,False,melissacooke@example.net
Charles Delacruz,So join impact senior sit.,9,Fill wide.,2015-03-26,Kevin Ramirez,Robert Hall,978-0-663-02674-6,EMI,Universal Music Publishing Group,BMI,Country,297895,False,beckerlisa@example.net
Mr. John Wilson,Animal as class.,3,Party support land.,2024-03-28,Angela Schmitt,John Griffith,978-1-222-19508-8,EMI,Sony/ATV Music Publishing,BMI,Reggeton,501554,False,kristinaporter@example.org
Joyce Moore,Other over player better.,10,Different direction necessary.,2016-02-29,Tasha Kirk,Taylor Martinez,978-1-80721-339-8,Sony Music,Warner/Chappell Music,ASCAP,Country,271917,False,lindsey51@example.com
Mariah Estes MD,Pm here listen.,8,Become wonder involve.,2021-06-23,Brenda Rose,Mark Santiago,978-0-517-76936-2,EMI,Sony/ATV Music Publishing,BMI,Pop,566173,False,amorrison@example.net
Cynthia Williamson,Enter have.,3,Nature several information suffer.,2022-09-03,Chad Lawson,Mitchell Hill,978-1-360-46903-4,Warner Music Group,Kobalt Music Group,ASCAP,Country,249769,False,claytonmarissa@example.com
Ashley Haynes,Necessary newspaper remain public among.,2,Road ago performance.,2017-03-01,Ryan Hines,Matthew Rose,978-1-5353-1327-8,Sony Music,Kobalt Music Group,ASCAP,Reggae,804038,False,michaelburke@example.com
Loretta Sparks,Foreign college we against exist.,1,Opportunity during real term.,2002-12-15,Jordan Turner,Michelle Dunn,978-0-439-20970-0,EMI,Kobalt Music Group,BMI,Electronic,502550,False,hbennett@example.com
Kelly Dorsey,Thousand cost if story.,3,Drop natural.,2001-06-03,Joshua Stevens,Lynn Thompson,978-1-369-71003-8,EMI,Kobalt Music Group,SESAC,Hip Hop,940082,False,igarcia@example.org
James Young,Season else writer.,9,Management owner.,2013-01-11,Stacey Prince,Jade Brown MD,978-1-4933-4036-1,Warner Music Group,Warner/Chappell Music,ASCAP,Pop,137570,False,wlopez@example.net
Joseph Young,Agency stuff professional.,4,Visit company in.,2014-03-29,Samantha Meyers,Joel Garcia,978-0-8369-8942-7,Warner Music Group,Warner/Chappell Music,ASCAP,Jazz,532318,False,diana18@example.com
Katherine Alvarez,Morning boy.,1,Turn together.,2004-07-26,John May,Dalton Reed,978-1-223-74605-0,EMI,Warner/Chappell Music,SESAC,Country,598512,False,bharrison@example.org
Christy Thompson,Site attorney drive.,5,Trip dog better.,2018-09-29,Dana Patel,Troy Wiggins,978-0-7681-0582-7,Warner Music Group,Universal Music Publishing Group,ASCAP,Reggae,347887,False,ppowell@example.net
Steven Hayden,Official cup window wait if.,2,Loss available themselves.,2001-04-23,Erika Meyer,Frances Foster,978-1-361-14510-4,Warner Music Group,Kobalt Music Group,ASCAP,Classical,262919,False,vhopkins@example.com
Eric Johnson,Candidate short range.,10,Half.,2018-12-31,Cody Rodriguez,Christopher Collins,978-0-10-010648-2,Universal Music Group,Kobalt Music Group,SESAC,Vallenato,365381,False,colonadam@example.net
Robert Miller,Picture scene address spend.,5,Time itself.,2017-01-02,Rachel Sanchez,Diane Cummings,978-0-08-580034-4,Sony Music,Sony/ATV Music Publishing,BMI,Country,68084,False,bcisneros@example.com
Kaitlyn Luna,Court actually stop travel.,11,East white.,2019-01-06,Kristen Smith,Robert Tyler,978-0-252-60527-7,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Jazz,972899,False,dayamanda@example.net
Jonathan Russo,Trade area four.,10,Test.,2005-05-06,Nicholas Michael,Anne Mueller,978-1-4106-3377-4,EMI,Kobalt Music Group,ASCAP,Reggae,492030,False,crodriguez@example.net
Fred Gutierrez,For moment else senior.,10,The audience.,2011-07-25,Gary Olsen,Katie Oneill,978-0-263-89504-9,Universal Music Group,Universal Music Publishing Group,ASCAP,Salsa,886332,False,susan76@example.net
Katherine Hall,Memory run grow western positive.,8,This summer.,2006-03-18,Jeffrey Ray,Misty Ward,978-1-07-073072-1,Warner Music Group,Sony/ATV Music Publishing,BMI,Merengue,443480,False,carpenterdanny@example.org
Linda Wallace,Majority score population effort.,10,Goal stock seek.,2018-12-31,Sheila Fitzgerald,Leah Horton,978-1-971977-11-9,Universal Music Group,Warner/Chappell Music,BMI,Electronic,632541,False,cporter@example.org
Hannah Brown,Structure develop dream.,9,Nothing ready.,2019-09-16,Gregory Patel,Jared Bowers,978-1-4103-5680-2,Warner Music Group,Warner/Chappell Music,SESAC,Vallenato,383910,False,egalvan@example.com
Sandra Page,Rate parent hard.,6,Practice decide.,2003-07-30,Teresa Mayer,Mrs. Alicia Diaz,978-0-339-89137-1,Warner Music Group,Sony/ATV Music Publishing,ASCAP,Reggae,532677,False,trevor34@example.org
Sabrina Anderson,Age account prove office between.,6,Which think.,2012-04-11,Tina Hensley,James Mendez,978-1-75243-919-5,Sony Music,Kobalt Music Group,SESAC,Jazz,826841,False,vmoreno@example.org
Patricia Rose,Structure fear low fund.,8,Three scientist majority.,2010-03-21,Tracy Thompson,Sylvia Nunez,978-1-214-33932-2,Universal Music Group,Universal Music Publishing Group,ASCAP,Jazz,78380,False,davidhorn@example.com
Jacqueline Armstrong,One trip.,12,Against quickly.,2016-01-05,Christopher Lopez,Steven Jenkins,978-1-64872-401-5,EMI,Universal Music Publishing Group,BMI,Pop,628990,False,smunoz@example.net
William Robinson,Throughout and condition why.,1,Everybody join.,2006-04-17,Ashley Kelley,Evan Herrera,978-1-71912-708-0,Warner Music Group,Kobalt Music Group,SESAC,Classical,121224,False,erose@example.com
Cynthia Phillips,Market exactly sort even.,9,Small until.,2006-10-04,Christopher Johnson,Cesar Robinson,978-1-65315-322-0,Sony Music,Sony/ATV Music Publishing,ASCAP,Reggeton,762601,False,tyronewatson@example.org
Natalie Gonzalez,First five scientist.,1,Beat speak real.,2009-02-21,Ronald Lee,Jeremy Thomas,978-0-426-25548-2,Sony Music,Universal Music Publishing Group,BMI,Jazz,849644,False,mcclurejohn@example.org
Stephanie Smith,Score buy.,7,Economic its reason.,2015-06-22,Craig Barron,Haley Mccoy,978-1-4245-1292-8,EMI,Universal Music Publishing Group,ASCAP,Jazz,385472,False,randy35@example.net
Casey Moore,Check lay wind foot.,4,Ok account.,2005-09-30,Andres Browning,Daniel Powers,978-1-02-656620-6,Universal Music Group,Sony/ATV Music Publishing,BMI,Reggeton,908484,False,fturner@example.org
Stefanie Mckinney,Sell choice player age defense.,2,Do run view.,2004-10-30,Joe Ferguson,Robert Liu,978-1-77396-747-9,Sony Music,Sony/ATV Music Publishing,SESAC,Salsa,620721,False,rwalker@example.com
Matthew Liu,Everyone bad really.,5,Expert though.,2006-08-25,Rebecca Smith,Amy Cuevas,978-1-908529-81-7,Universal Music Group,Universal Music Publishing Group,SESAC,Rock,204995,False,markdavis@example.org
Susan Hale,Open growth west consumer face.,4,Economic smile.,2003-10-02,Abigail Jones,Christopher Hayes,978-1-167-19612-6,Sony Music,Sony/ATV Music Publishing,SESAC,Salsa,327452,False,stokesmary@example.org
Joseph Zavala,Yard good say several.,2,Music consider memory film.,2022-10-22,Erica White,David Herrera,978-1-4299-6560-6,Sony Music,Universal Music Publishing Group,SESAC,Electronic,800969,False,ygarcia@example.com
Donald Walsh,Question back.,12,Create drop cost.,2011-03-20,David Hill,Craig Gordon,978-1-879832-47-3,EMI,Warner/Chappell Music,BMI,Classical,23279,False,spencer39@example.net
John Hernandez,Entire land after hot.,10,Opportunity commercial.,2022-08-23,David Rodriguez,Robin Pena,978-1-271-58198-6,Sony Music,Universal Music Publishing Group,SESAC,Vallenato,791647,False,lperez@example.org
Katherine Wilson,Brother later light together near.,2,Peace expert book.,2005-03-25,Sarah Brown,Jerry Roberson,978-0-04-875300-7,EMI,Universal Music Publishing Group,ASCAP,Reggae,241558,False,fjones@example.com
Anne West,Condition whose people rich.,11,Much difference.,2007-05-21,Derek Bradley,Scott Hughes,978-0-945765-27-1,Warner Music Group,Warner/Chappell Music,SESAC,Pop,701192,False,amy36@example.net
David Campbell,Instead management.,1,Century hour no blood.,2011-01-25,Eugene Ward,Dawn Jackson,978-0-86018-136-1,Warner Music Group,Warner/Chappell Music,ASCAP,Pop,552081,False,andreacoleman@example.org
Brandon Smith,Building make determine.,10,Security war.,2013-03-22,Amy Davis,Jimmy Hoffman,978-0-522-65743-2,Warner Music Group,Kobalt Music Group,ASCAP,Salsa,766322,False,michael85@example.net
Albert Martin,Executive stay against sing yourself.,2,Writer wear.,2017-12-10,Mark Williamson,Eric Flynn,978-0-00-726206-9,EMI,Sony/ATV Music Publishing,SESAC,Hip Hop,389988,False,bonniebaker@example.net
Adam Steele,Reason authority add job happy.,9,Dark daughter Mrs.,2017-06-21,Kevin Bautista,Travis Ward,978-1-4659-2181-9,Sony Music,Kobalt Music Group,ASCAP,Classical,875014,False,andrea33@example.net
Sara Walker,Know day item.,10,Series future early.,2002-02-17,Danny Harrell,Jason Castaneda,978-1-4179-9380-2,Universal Music Group,Warner/Chappell Music,SESAC,Pop,746556,False,mary43@example.net
Angelica Bishop,Ago itself plan program.,9,Our knowledge.,2024-02-02,Julie Nguyen,Beth Arnold,978-0-85843-586-5,Sony Music,Kobalt Music Group,SESAC,Pop,774798,False,william76@example.org
Cory Tucker,Tax usually behind.,10,Third room.,2014-12-08,Scott Gordon,Keith Carpenter,978-0-9668770-6-9,EMI,Sony/ATV Music Publishing,ASCAP,Rock,700373,False,todd71@example.net
Timothy Jackson,Ground floor weight health everyone.,8,Energy myself.,2008-03-19,Stephanie Jackson,Heather Smith,978-0-06-359140-0,Warner Music Group,Universal Music Publishing Group,SESAC,Reggae,441926,False,jesusjones@example.net
Micheal Rivera,Turn mother throw group.,6,Treatment collection cell.,2000-03-23,Christina Rivera,Christopher Gonzalez,978-0-266-31844-6,Warner Music Group,Universal Music Publishing Group,SESAC,Salsa,899884,False,stevenjones@example.net
Michael Smith,Test course.,9,Couple charge.,2023-04-24,Kyle Burns,Patricia Walker,978-0-18-605241-3,Warner Music Group,Kobalt Music Group,ASCAP,Country,95879,False,lunabrett@example.net
Nathan Johnson,Read someone with.,4,Music walk boy.,2008-12-14,Christina Schultz,Jerry Glass,978-0-352-05435-7,EMI,Sony/ATV Music Publishing,ASCAP,Classical,245702,False,qdouglas@example.org
Joy Carson,Outside war.,12,Machine final.,2006-10-21,Dawn Wright,Taylor Atkinson,978-0-10-911183-8,EMI,Kobalt Music Group,SESAC,Merengue,199067,False,steven49@example.org
Peter Deleon,Economy place.,12,Argue clear.,2009-04-20,James Campbell III,Matthew Hernandez,978-0-545-67015-9,EMI,Sony/ATV Music Publishing,ASCAP,Vallenato,10917,False,gordonelizabeth@example.net
April Watson,Property direction.,7,Official late.,2012-09-03,Amy Perez,Yesenia Rhodes,978-0-330-49795-4,Sony Music,Warner/Chappell Music,ASCAP,Salsa,376030,False,butleralexander@example.net
Kristen Newman,College would.,9,Small relate.,2023-05-18,Debra Andrews,Nathan Pacheco,978-1-56488-162-5,Sony Music,Sony/ATV Music Publishing,BMI,Vallenato,487547,False,schneidertroy@example.com
Jimmy Jones,Go cultural room.,12,Everybody modern talk.,2011-09-13,Sara Golden,Joseph Hicks,978-0-16-746557-7,Warner Music Group,Universal Music Publishing Group,ASCAP,Rock,566994,False,pparrish@example.com
Robert Hernandez,Treat eight indeed.,1,Citizen natural summer wide.,2012-07-24,John Green,Travis Carter,978-0-06-876786-2,Sony Music,Sony/ATV Music Publishing,ASCAP,Rock,479465,False,lonnie27@example.com
Donna Martinez,Right interesting college follow.,7,Prove seem.,2008-06-26,Cynthia Bridges,Gregory Jones,978-0-656-68529-5,Warner Music Group,Sony/ATV Music Publishing,SESAC,Classical,852820,False,alane@example.org
Melissa Edwards,Pressure into especially.,6,Particular marriage.,2008-09-29,Leslie Lane,Theresa Williams,978-0-7156-0706-0,Sony Music,Universal Music Publishing Group,BMI,Electronic,483556,False,codyberger@example.org
Walter Hernandez,Source trial ok read fish.,1,Field.,2018-05-30,Sabrina Weaver,Christopher Harris,978-1-64298-317-3,Sony Music,Universal Music Publishing Group,SESAC,Merengue,42363,False,sarah21@example.org
Nicholas Riley,Her skill hour.,2,Sound consider.,2002-11-08,Nathaniel Gordon,Laura Ryan,978-1-4272-9689-4,Warner Music Group,Sony/ATV Music Publishing,ASCAP,Salsa,516032,False,daltonfuller@example.net
David Fischer,Keep seem point impact.,8,Improve build.,2018-07-25,Scott Thompson,Jeremy Charles,978-1-74175-557-2,Warner Music Group,Universal Music Publishing Group,ASCAP,Vallenato,266562,False,kmiller@example.org
Jonathan Wallace,Idea fire do fire.,2,Crime something state.,2000-02-29,Diamond Martin,Heather Anderson,978-1-940968-80-3,EMI,Warner/Chappell Music,SESAC,Merengue,665673,False,stewartmindy@example.org
David Matthews,Section break generation usually.,11,Trade include.,2011-01-21,Ethan Barnett,Nathan Daniels,978-1-55250-620-2,EMI,Warner/Chappell Music,BMI,Jazz,380452,False,qfigueroa@example.net
Lindsey Hanson,Full detail environmental.,4,Decade.,2011-02-01,Katherine Johnson,John Hunt,978-1-175-87024-7,EMI,Warner/Chappell Music,ASCAP,Rock,617919,False,angelageorge@example.net
Susan Fitzgerald,Few throw.,1,Administration fly weight.,2021-05-07,Shaun Alvarado,Cindy Rodriguez,978-1-300-58114-7,EMI,Warner/Chappell Music,ASCAP,Salsa,724493,False,ucarter@example.org
Tammy Cruz,Human performance.,2,What water.,2004-10-06,John Gonzalez,Cheyenne Taylor,978-0-257-97353-1,Universal Music Group,Universal Music Publishing Group,ASCAP,Reggae,746032,False,martinezrebecca@example.net
Zachary Jones,Artist final tell charge.,5,High.,2014-02-03,Robert Wallace,Christopher Burnett,978-0-675-74612-0,Universal Music Group,Universal Music Publishing Group,ASCAP,Pop,947290,False,nataliekennedy@example.net
Anne Richardson,When mother maybe run.,8,Health myself prepare.,2001-01-04,George Bradshaw,Bruce Jones,978-0-9531957-5-6,Sony Music,Universal Music Publishing Group,ASCAP,Salsa,761514,False,maldonadocaitlin@example.net
Kristen Brewer,Cause throw.,6,Travel network them.,2003-07-14,Levi May,Christopher Todd,978-0-304-31864-3,Universal Music Group,Warner/Chappell Music,ASCAP,Reggae,958135,False,ricardo97@example.org
Robin Gomez,Nice data every whatever.,6,Travel shoulder region.,2016-06-28,Jordan Harper,Brandon Smith,978-0-336-18948-8,Universal Music Group,Warner/Chappell Music,BMI,Reggae,905794,False,bnelson@example.com
